Date/Time,Lat,Lon,dayname,hour,time,cat_timeday,timeday
2014-04-10 20:15:00,40.7588,-73.9726,Thursday,20,20:15:00,Evening,Thursday Evening
2014-06-22 14:48:00,40.8451,-73.9418,Sunday,14,14:48:00,Afternoon,Sunday Afternoon
2014-08-28 22:58:00,40.7399,-73.9823,Thursday,22,22:58:00,Night,Thursday Night
2014-04-28 16:30:00,40.6449,-73.7824,Monday,16,16:30:00,Afternoon,Monday Afternoon
2014-09-17 20:40:00,40.7636,-73.9798,Wednesday,20,20:40:00,Evening,Wednesday Evening
2014-05-16 12:06:00,40.7276,-73.991,Friday,12,12:06:00,Afternoon,Friday Afternoon
2014-08-16 16:16:00,40.6774,-73.9637,Saturday,16,16:16:00,Afternoon,Saturday Afternoon
2014-09-17 16:07:00,40.7671,-73.9624,Wednesday,16,16:07:00,Afternoon,Wednesday Afternoon
2014-04-28 11:22:00,40.7194,-74.0086,Monday,11,11:22:00,Morning,Monday Morning
2014-06-12 10:00:00,40.7568,-73.9827,Thursday,10,10:00:00,Morning,Thursday Morning
2014-05-02 22:50:00,40.7567,-73.9938,Friday,22,22:50:00,Night,Friday Night
2014-08-01 16:41:00,40.7587,-73.971,Friday,16,16:41:00,Afternoon,Friday Afternoon
2014-09-10 16:26:00,40.7689,-73.969,Wednesday,16,16:26:00,Afternoon,Wednesday Afternoon
2014-06-04 21:56:00,40.7868,-73.9757,Wednesday,21,21:56:00,Night,Wednesday Night
2014-05-13 08:03:00,40.7761,-73.9616,Tuesday,8,08:03:00,Morning,Tuesday Morning
2014-08-07 18:15:00,40.7264,-74.0091,Thursday,18,18:15:00,Evening,Thursday Evening
2014-04-05 22:23:00,40.7692,-73.9828,Saturday,22,22:23:00,Night,Saturday Night
2014-06-26 20:09:00,40.7567,-73.9808,Thursday,20,20:09:00,Evening,Thursday Evening
2014-05-14 18:29:00,40.7628,-73.9738,Wednesday,18,18:29:00,Evening,Wednesday Evening
2014-07-28 10:13:00,40.7541,-73.9921,Monday,10,10:13:00,Morning,Monday Morning
2014-06-20 03:41:00,40.7424,-73.9974,Friday,3,03:41:00,Night,Friday Night
2014-04-14 13:30:00,40.6949,-74.1781,Monday,13,13:30:00,Afternoon,Monday Afternoon
2014-05-23 11:37:00,40.6795,-73.9753,Friday,11,11:37:00,Morning,Friday Morning
2014-04-27 20:08:00,40.7398,-74.0062,Sunday,20,20:08:00,Evening,Sunday Evening
2014-07-15 17:40:00,40.741,-73.9956,Tuesday,17,17:40:00,Evening,Tuesday Evening
2014-08-02 23:52:00,40.743,-74.035,Saturday,23,23:52:00,Night,Saturday Night
2014-05-31 11:25:00,40.8245,-73.9456,Saturday,11,11:25:00,Morning,Saturday Morning
2014-05-31 13:37:00,40.7645,-73.9798,Saturday,13,13:37:00,Afternoon,Saturday Afternoon
2014-07-06 13:51:00,40.6719,-73.9903,Sunday,13,13:51:00,Afternoon,Sunday Afternoon
2014-05-30 14:23:00,40.7606,-73.921,Friday,14,14:23:00,Afternoon,Friday Afternoon
2014-09-04 15:51:00,40.7556,-73.994,Thursday,15,15:51:00,Afternoon,Thursday Afternoon
2014-08-28 13:50:00,40.7092,-74.0104,Thursday,13,13:50:00,Afternoon,Thursday Afternoon
2014-05-17 13:53:00,40.6596,-73.9881,Saturday,13,13:53:00,Afternoon,Saturday Afternoon
2014-06-27 12:32:00,40.6898,-73.9829,Friday,12,12:32:00,Afternoon,Friday Afternoon
2014-07-18 16:16:00,40.7602,-73.9692,Friday,16,16:16:00,Afternoon,Friday Afternoon
2014-05-06 20:17:00,40.749,-73.9917,Tuesday,20,20:17:00,Evening,Tuesday Evening
2014-09-20 13:03:00,40.6858,-73.955,Saturday,13,13:03:00,Afternoon,Saturday Afternoon
2014-04-03 18:47:00,40.7708,-73.8655,Thursday,18,18:47:00,Evening,Thursday Evening
2014-09-27 21:41:00,40.7536,-73.9936,Saturday,21,21:41:00,Night,Saturday Night
2014-05-21 08:07:00,40.7766,-73.9488,Wednesday,8,08:07:00,Morning,Wednesday Morning
2014-09-30 20:00:00,40.6643,-73.9814,Tuesday,20,20:00:00,Evening,Tuesday Evening
2014-08-31 13:40:00,40.7745,-73.9456,Sunday,13,13:40:00,Afternoon,Sunday Afternoon
2014-06-26 01:42:00,40.7251,-74.0076,Thursday,1,01:42:00,Night,Thursday Night
2014-09-08 14:24:00,40.7898,-73.97,Monday,14,14:24:00,Afternoon,Monday Afternoon
2014-08-09 10:10:00,40.7352,-73.9942,Saturday,10,10:10:00,Morning,Saturday Morning
2014-08-21 05:48:00,40.7106,-73.9648,Thursday,5,05:48:00,Morning,Thursday Morning
2014-06-05 22:25:00,40.752,-73.982,Thursday,22,22:25:00,Night,Thursday Night
2014-07-13 17:02:00,40.7827,-73.9492,Sunday,17,17:02:00,Evening,Sunday Evening
2014-07-27 19:37:00,40.7716,-73.983,Sunday,19,19:37:00,Evening,Sunday Evening
2014-08-27 13:27:00,40.7523,-73.9874,Wednesday,13,13:27:00,Afternoon,Wednesday Afternoon
2014-07-15 18:23:00,40.7562,-73.998,Tuesday,18,18:23:00,Evening,Tuesday Evening
2014-06-06 15:05:00,40.7401,-74.006,Friday,15,15:05:00,Afternoon,Friday Afternoon
2014-06-01 00:57:00,40.7975,-73.9624,Sunday,0,00:57:00,Night,Sunday Night
2014-04-23 22:06:00,40.7015,-73.9255,Wednesday,22,22:06:00,Night,Wednesday Night
2014-06-05 09:41:00,40.7684,-73.9587,Thursday,9,09:41:00,Morning,Thursday Morning
2014-08-10 13:54:00,40.7555,-73.9897,Sunday,13,13:54:00,Afternoon,Sunday Afternoon
2014-09-18 22:38:00,40.759,-73.9836,Thursday,22,22:38:00,Night,Thursday Night
2014-06-30 07:40:00,40.7786,-73.9854,Monday,7,07:40:00,Morning,Monday Morning
2014-08-29 12:54:00,40.7702,-73.8647,Friday,12,12:54:00,Afternoon,Friday Afternoon
2014-07-11 23:19:00,40.7264,-73.992,Friday,23,23:19:00,Night,Friday Night
2014-04-30 07:43:00,40.7808,-73.9611,Wednesday,7,07:43:00,Morning,Wednesday Morning
2014-09-03 13:24:00,40.7223,-74.0106,Wednesday,13,13:24:00,Afternoon,Wednesday Afternoon
